shop_name,product_name,shelf_price,image_url
Lidl,"Spalvotos tulpės",13.99,https://imgproxy-retcat.assets.schwarz/1pUPIQvFhzQuJliqUQO-gNSPSr8k_eYVfRhs4IVrEEI/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9DRjNFOENEOTc1RTA0RTcwRjY0RTRCQ0F/CQTgxNjE4REIzNzU3MDRFNTA5MjUxNjlDMDg3Njg2ODk3OUQ3OTg1LnBuZw.png
Lidl,"Kumpis „Prosciutto di Parma DOP“",23.99,https://imgproxy-retcat.assets.schwarz/GvuHZqqumZ1xsoVn-E9CK9AiNqf6Wh8fWysLrn78XRY/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzM4MkUwODk1QUJGN0Y2NkNGRjBEMjhFRk/I4MDEzQThCM0YwMEM1Q0Y3OTlFQzVEMDlCNjZGMjE4MkQzQTlGRTYucG5n.png
Lidl,"Šaltai rūkyta lašišos filė škotiško stiliaus, pjaustyta",9.99,https://imgproxy-retcat.assets.schwarz/0PZRTiHayz8TlWtk9G3uUCEAagB_pAcLrDOnDf-VGDo/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzEzRkYyNjk3RTNBQUY2RjVGM0EwNzIwMz/g3Rjc5NjIxRTJGMjgzMTk1QzQyQjJGRURDMjAxMkU1RjAxQkZERDUucG5n.png
Lidl,"Lašiša tešloje",9.99,https://imgproxy-retcat.assets.schwarz/ed1AWn_oi96fp5RUeaPrmmssEeqT_KkB7PnwS0rIMQE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzJDNEZBRTI4QzYwNEUxRUNEM0M4OTMxMk/MyMTc5RjNBRjg5OUU3MEE5NjMyQzA5OTgzREM1MEY2MjE5RkY1QTgucG5n.png
Lidl,"Pica su mocarela, kriaušėmis ir sūriu „Gorgonzola“",3.29,https://imgproxy-retcat.assets.schwarz/VJAU8rWS5VGqb-GTPknSe9bSCnLjOAyXzQQzGEu0FZ0/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzNBQUEyNzUyM0UxNkZCMTRGNjg3NjI2NE/FBOEY4MDBDODA0MTlCNzdBQzREMTYyOUI3MDhGQkVDM0E5MEJCNDcucG5n.png
Lidl,"Vytintų iberiškų dešrų ir nugarinės rinkinys",3.49,https://imgproxy-retcat.assets.schwarz/U4qppkdj2wAg_NfipJjs1WkVC4Do24NVu9EZLf8e-6o/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzgxQUY1QjBFQTkwOEFBMDQ3MjJBNzE2MT/lEMERCQUQzMDJFQTg5MTJFRDQ3Q0U4RTUxNUZBQjY1RDE5QUE2MTQucG5n.png
Lidl,"Jautienos karpačio su alyvuogių aliejumi",3.99,https://imgproxy-retcat.assets.schwarz/O3jljRi4gYo1-2quTUu73XXyHkBNSvtW5WyEOLqA06A/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0VCRTI1QUFDNTNDNUVGOUM4MDc2NDc5Nz/A1OUVGQjcyNjk3MERGQzA1Mjg3RUU1NDM1MjU4OURFNUY2MzBEMjYucG5n.png
Lidl,"Avinžirniai su trumais",3.69,https://imgproxy-retcat.assets.schwarz/e-gEeJyPevv5wPAhkgar3fSH6hgx5HaNgXBlB7EVgyc/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzM0REY4MTlFMDJDNkFBNzIyMEU0OTVFRE/RERDJEMTk2NTZDNDQxOEJDNDk5OTI4RjhDOEVFOTJENUJGQUIyMDkucG5n.png
Lidl,"Vytinta kiaulienos dešra",2.49,https://imgproxy-retcat.assets.schwarz/OSAtmAEDt9f_S4hHqI5v21ipQhH2nhXmXn5oZN2Pkmc/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0EwMTczNkYxODY4MDMzQ0U3N0NFMTlCNk/VCRjM3OTNENDVGRUVGNzAwOEM1NTBGMjI3RUU0RTdGODJBQTMxQzUucG5n.png
Lidl,"Kiaulienos mentė",44.99,https://imgproxy-retcat.assets.schwarz/kxuFucjGzlhkXmaQpuSy6O7oYF3LpOt3IrGw-9rTbQY/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8yN0M1NjYzODIzNjQ5ODQ3M0VDMERBRjQ/2MjA0NTc5REIxQTcwN0Q4RjM0NUY5OEFCQ0NEOTY3RjhENzZDNzlELnBuZw.png
